id,userid,yearReg,companyName,companyWebsite,contactName,contactEmail,contactPhone,companyAddress1,companyAddress2,companyCity,companyState,companyZip,additionalContactInfo,previousAttendance,industry,majors,positionsAvailable,degreesNeeded,companyRegLocations,onlineEmpApplication,applicationHiringPolicy,numberRepsAttending,preferableDateofAttendance,attendingReception,companyProfile,paymentAddress1,paymentAddress2,paymentCity,paymentState,paymentZip,eligibleForDiscount,sponsorshipClass,dateCreated,dateModified,Building
111,160,2013,3M Company,www.3m.com,Jennifer Besadny,jbesadny@mmm.com,651-575-4142,3M Center,224-1-W-02,Maplewood,Minnesota,55144,"Caroline E. Morel, cemorel2@mmm.com",Yes,Manufacturing,AERO:AUTO:BME:CHEME:CIVIL:CE:EE:ENV:IOE:MFE:MSE,Full-time:Summer Internship:,PhD:Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,2,10,Monday September 23,Yes,"Welcome to a world where your inspired ideas fuel endless progress. At 3M, you’ll help us develop the products that change the way people live and work. And you’ll realize boundless opportunities for your own professional success. As a powerhouse of innovation, our industry leadership is extensive—everything from homes and health care to electronics and transportation.. Join us at 3M, and be part of what’s next.",,,,none,,,Gold,5/9/2013 8:08,5/9/2013 8:08,EECS
256,316,2013,3Red,3redgroup.com,Jen Lee,jen.lee@3redgroup.com,312-981-8826,333 W Wacker Drive,Suite 1650,Chicago,Illinois,60606,,Yes,Finance,CE:CS:EE:ME:,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Midwest:,,1,2,Tuesday September 24,Yes,3Red is a proprietary trading company located in the Chicago Loop.,,,,none,,,,7/16/2013 8:24,7/16/2013 8:24,EECS
90,142,2013,ABS,www.eagle.org,Jennifer Mitchell,jmitchell@eagle.org,281-877-6706,16855 Northchase Dr,,Houston,Texas,77060,,No,Consulting,AOSS:CIVIL:CE:CS:EE:IOE:MFE:MSE:ME:NAME,Full-time:Summer Internship:,PhD:Masters:Bachelors:,Southeast:,,1,3,Monday September 23,No,"From its foundation in 1862, promoting maritime safety has been the core commitment of the American Bureau of Shipping (ABS). Today, we strive to be the most efficient provider of marine and offshore classification services.  We are achieving that goal through the innovative thinking, enthusiasm and professionalism of our staff.",,,,none,,Yes,,5/3/2013 13:18,5/3/2013 13:18,EECS
70,123,2013,Accenture,www.accenture.com,Betsy Lau,elizabeth.s.lau@accenture.com,267-216-1432,2001 Market Street,Two Commerce Square; Suite 2400,Philadelphia,Pennsylvania,19103,no,Yes,Consulting,AERO:AOSS:AUTO:BME:CHEME:CIVIL:CE:CS:EE:EP:ENV,Full-time:Summer Internship:,Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,yes - www.accenture.com,2,4,Monday September 23,Yes,"Accenture is a global management consulting, technology services and outsourcing company, with more than 259,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world’s most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments.",,,,none,,,,5/1/2013 14:19,5/1/2013 14:19,EECS
254,314,2013,Adage Technologies,www.adagetechnologies.com,Michael Clark,mclark@adagetechnologies.com,312-884-5172,10 South Riverside Plaza #1500,,Chicago,Illinois,60606,,No,Computer Software,CE:CS:IP:,Full-time:Summer Internship:Co-Op:,Masters:Bachelors:,Midwest:,Optional: You can apply online here-http://www.adagetechnologies.com/careers/,1,2,Tuesday September 24,No,"Founded in 2001, Adage Technologies is a web development firm located in the heart of Chicago. We specialize in creating engaging custom websites, custom software and mobile solutions.

It's a collaborative and entrepreneurial group here at Adage. We are passionate about our work and are always pretty hungry to grow and learn more.",10 South Riverside Plaza #1500,,Chicago,Illinois,60606,,,7/15/2013 15:35,7/15/2013 15:35,EECS
56,106,2013,ADP - Automatic Data Processing,adp.com,Lori Sullivan,lori.sullivan@adp.com,502-749-5632,2816 Woods Club Road,,Louisville,Kentucky,40241,,No,Computer Software,CE:CS:EP:IOE:,Full-time:Summer Internship:,Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,1,5,Tuesday September 24,Yes,"We power organizations with insightful solutions that drive business success.  Consistently named one of the ""Most Admired Companies"" by FORTUNE® Magazine, and recognized by Forbes® as one of “The World’s Most Innovative Companies,” ADP has over a half-million clients around the globe and 60+ years of experience as a world-wide leader of business outsourcing solutions.",,,,none,,,,5/1/2013 11:39,5/1/2013 11:39,EECS
307,381,2013,"Aernnova Engineering US, Inc.",www.aernnova.com,Gina Finney,gina.finney@aernnova.com,734 926-0503,"3891 Ranchero Drive, Suite 100",,Ann Arbor,Michigan,48108,,Yes,Aerospace,AERO:ME:,Full-time:,Bachelors:,Midwest:,,1,4,Tuesday September 24,No,,3891 Ranchero Drive,Suite 100,Ann Arbor,Michigan,48108,,,8/7/2013 19:34,8/7/2013 19:34,EECS
19,61,2013,Air Liquide,www.us.airliquide.com,Jennifer Lugini,airliquide@nc3.com,401-642-1714,2700 Post Oak Boulevard (US Headquarters),,Houston,Texas,77056,,Yes,Chemicals,CHEME:EE:IOE:ME:,Full-time:Summer Internship:,Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,,2,5,Monday September 23,Yes,"Air Liquide develops innovative technologies and sustainable solutions, optimizing the use of air and the planet’s natural resources, enabling progress and preserving life.  Located in over 80 countries, we have more than 1,000,000 customers globally in diverse industries such as steel, food and beverage, electronics and pharmaceuticals.",2 Pleasant Street,,Pawtucket,Rhode Island,2860,,,5/1/2013 7:29,5/1/2013 7:29,EECS
207,264,2013,Air Products and Chemicals inc.,www.airproducts.com,Kimberly Muller,witkowka@airproducts.com,610-481-3709,7201 Hamilton Blvd,,Allentown,Pennsylvania,18195,"yes - 
Scott Siegmund - SIEGMUSC@airproducts.com",Yes,Chemicals,CHEME:ME:,Summer Internship:,Masters:Bachelors:,West Coast:Southwest:Northeast:Northwest:Midwest:Southeast:,"Yes, please have them apply online to http://www.airproducts.com/careers/overview.aspx to requisition #'s
12465BR - Summer Intern Mechanical Engineer
12445BR - Summer Intern Chemical Engineer",3,3,Tuesday September 24,Yes,"Air Products (NYSE:APD) provides atmospheric, process and specialty gases; performance materials; equipment; and technology. For over 70 years, the company has enabled customers to become more productive, energy efficient and sustainable.",7201 Hamilton Blvd,,Allentown,Pennsylvania,18195,,,6/23/2013 14:43,6/23/2013 14:43,EECS
106,156,2013,Akuna Capital LLC,www.akunacapital.com,Ashley Steitz,ashley.steitz@akunacapital.com,312-994-4640,36 S. Wabash Ave.,Suite 310,Chicago,Illinois,60603,Sara Anlezark; sara.anlezark@akunacapital.com,Yes,Finance,CE:CS:EP:FE:,Full-time:,Masters:Bachelors:,Midwest:,We will be accepting resumes in the fall 2013 on our company website.,1,2,Monday September 23,Yes,Akuna Capital is a fast-growing boutique trading house that specializes in derivatives market-making and arbitrage. We pair up experienced and talented traders with our innovative IT department to create a flexible and dynamic approach to trading.,,,,none,,,,5/7/2013 15:27,5/7/2013 15:27,EECS
